Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94709-55050,RB,Christian,Christian McCaffrey,McCaffrey,24.76000061035156,5,10300,SF@CLE,SF,CLE,,,,,,RB/FLEX
94709-53681,WR,Tyreek,Tyreek Hill,Hill,22.9,5,9800,CAR@MIA,MIA,CAR,,,,,,WR/FLEX
94709-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,17.560000610351562,5,9300,SEA@CIN,CIN,SEA,,,,,,WR/FLEX
94709-85671,WR,Justin,Justin Jefferson,Jefferson,18.219999694824217,5,9200,MIN@CHI,MIN,CHI,IR,Hamstring,,,,WR/FLEX
94709-138820,RB,De'Von,De'Von Achane,Achane,24.299999237060547,4,9000,CAR@MIA,MIA,CAR,IR,Knee,,,,RB/FLEX
94709-28744,RB,Raheem,Raheem Mostert,Mostert,19.539999389648436,5,8500,CAR@MIA,MIA,CAR,,,,,,RB/FLEX
94709-91591,QB,Justin,Justin Fields,Fields,21.163999938964842,5,8500,MIN@CHI,CHI,MIN,,,,,,QB
94709-103342,RB,Kenneth,Kenneth Walker III,Walker III,17.399999618530273,4,8400,SEA@CIN,SEA,CIN,,,,,,RB/FLEX
94709-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,20.732000732421874,5,8300,CAR@MIA,MIA,CAR,,,,,,QB
94709-129315,QB,Anthony,Anthony Richardson,Richardson,18.420000076293945,4,8100,IND@JAC,IND,JAC,IR,Shoulder - ac joint,,,,QB
94709-22038,QB,Kirk,Kirk Cousins,Cousins,20.824000549316406,5,8000,MIN@CHI,MIN,CHI,,,,,,QB
94709-63043,WR,DJ,DJ Moore,Moore,19.31999969482422,5,8000,MIN@CHI,CHI,MIN,,,,,,WR/FLEX
94709-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,15.074999809265137,4,7700,SF@CLE,SF,CLE,,,,,,WR/FLEX
94709-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,16.6,5,7700,IND@JAC,JAC,IND,,,,,,RB/FLEX
94709-136855,RB,Bijan,Bijan Robinson,Robinson,14.3,5,7600,WAS@ATL,ATL,WAS,,,,,,RB/FLEX
94709-89951,QB,Trevor,Trevor Lawrence,Lawrence,15.10399932861328,5,7600,IND@JAC,JAC,IND,,,,,,QB
94709-42104,RB,Alvin,Alvin Kamara,Kamara,16.049999237060547,2,7500,NO@HOU,NO,HOU,,,,,,RB/FLEX
94709-73048,WR,DK,DK Metcalf,Metcalf,11.949999809265137,4,7500,SEA@CIN,SEA,CIN,Q,Ribs,,,,WR/FLEX
94709-63336,QB,Joe,Joe Burrow,Burrow,11.55999984741211,5,7500,SEA@CIN,CIN,SEA,,,,,,QB
94709-70027,RB,Zack,Zack Moss,Moss,20.424999237060547,4,7400,IND@JAC,IND,JAC,,,,,,RB/FLEX
94709-39716,WR,Adam,Adam Thielen,Thielen,15.8,5,7400,CAR@MIA,CAR,MIA,,,,,,WR/FLEX
94709-85607,QB,Brock,Brock Purdy,Purdy,19.847999572753906,5,7200,SF@CLE,SF,CLE,,,,,,QB
