Id,Position,Nickname,FPPG,Played,Salary,Team,Opponent,Injury Indicator,Injury Details,D_Val,% Rostered,O_Val,Value
94709-12539,D,Miami Dolphins,5.6,5.0,4800,MIA,CAR,,,-0.5,31.24,3.1,3.099416666666667
94709-90573,WR3,Jaylen Waddle,9.699999809265137,4.0,6800,MIA,CAR,,,-0.5,99.0,3.1,3.099286764719907
94709-28744,RB1,Raheem Mostert,19.53999938964844,5.0,8500,MIA,CAR,,,-0.5,94.3,3.1,3.098850588271197
94709-53681,WR1,Tyreek Hill,22.9,5.0,9800,MIA,CAR,,,-0.5,99.9,3.1,3.098831632653061
94709-90572,QB,Tua Tagovailoa,20.732000732421877,5.0,8300,MIA,CAR,,,-0.5,96.1,3.1,3.0987510842932275
94709-39793,TE,George Kittle,9.6,5.0,5900,SF,CLE,,,-2.9,98.8,2.7,2.6952813559322037
94709-56018,WR2,Deebo Samuel,12.11999969482422,5.0,7200,SF,CLE,,,-2.9,99.4,2.7,2.6951183334562514
94709-12549,D,San Francisco 49ers,8.8,5.0,5000,SF,CLE,,,-2.9,93.74,2.7,2.694896
94709-85798,WR2,Brandon Aiyuk,15.074999809265137,4.0,7700,SF,CLE,,,-2.9,95.9,2.7,2.694322402669238
94709-55050,RB1,Christian McCaffrey,24.76000061035156,5.0,10300,SF,CLE,,,-2.9,99.9,2.7,2.6930287376922313
94709-85607,QB,Brock Purdy,19.847999572753903,5.0,7200,SF,CLE,,,-2.9,78.9,2.7,2.692005666838752
94709-22038,QB,Kirk Cousins,20.82400054931641,5.0,8000,MIN,CHI,,,2.5,92.9,1.5,1.5065075001716615
94709-72776,RB2,Alexander Mattison,10.44000015258789,5.0,6900,MIN,CHI,,,2.5,93.3,1.5,1.5037826087509376
94709-71706,TE,T.J. Hockenson,10.080000305175782,5.0,6700,MIN,CHI,,,2.5,99.7,1.5,1.5037611941437223
94709-12540,D,Minnesota Vikings,5.6,5.0,4000,MIN,CHI,,,2.5,43.74,1.5,1.5035
94709-63855,Flex,K.J. Osborn,7.019999694824219,5.0,6200,MIN,CHI,,,2.5,49.8,1.5,1.5028306450382356
94709-89230,Flex,Cam Akers,5.933333079020183,3.0,5700,MIN,CHI,,,2.5,66.8,1.5,1.5026023390697456
