Opponent,D_Val,Roster%
CLE,-2.9,99.99
BAL,-2.7,96.865
SF,-2.5,93.74
NO,-2.3,90.615
DAL,-2.1,87.49
DET,-1.9,84.365
ATL,-1.7,81.24
NE,-1.5,78.115
KC,-1.3,74.99
PHI,-1.1,71.865
TB,-0.9,68.74
BUF,-0.7,65.615
CAR,-0.5,62.49
LV,-0.3,59.365
LAR,-0.1,56.24
TEN,0.1,53.115
GB,0.1,49.99
HOU,0.3,46.865
MIN,0.5,43.74
JAC,0.7,40.615
CIN,0.9,37.49
NYJ,1.1,34.365
MIA,1.3,31.24
SEA,1.5,28.115
WAS,1.7,24.99
ARI,1.9,21.865
NYG,2.1,18.74
IND,2.3,15.615
CHI,2.5,12.49
PIT,2.7,9.365
LAC,2.9,6.24
DEN,3.1,3.115
