Team,O_Val,Roster%
MIA,3.1,99.99
PHI,2.9,96.865
SF,2.7,93.74
BUF,2.5,90.615
LAC,2.3,87.49
DET,2.1,84.365
KC,1.9,81.24
LAR,1.7,78.115
MIN,1.5,74.99
JAC,1.3,71.865
HOU,1.1,68.74
IND,0.9,65.615
BAL,0.7,62.49
CHI,0.5,59.365
ARI,0.3,56.24
DEN,0.1,53.115
DAL,-0.1,49.99
WAS,-0.3,46.865
SEA,-0.5,43.74
ATL,-0.7,40.615
CLE,-0.9,37.49
TB,-1.1,34.365
CAR,-1.3,31.24
TEN,-1.5,28.115
NO,-1.7,24.99
NE,-1.9,21.865
NYJ,-2.1,18.74
GB,-2.3,15.615
LV,-2.5,12.49
PIT,-2.7,9.365
CIN,-2.9,6.24
NYG,-3.1,3.115
