Team,Def_PassYds_Allowed,RushYds_Allowed,Def_Pass_TD_Allowed,Def_Rush_TD_Allowed,Def_Tot_Allowed,Def_Pass_Att,Def_Pass_Cmp,Def_Rush_Att,Def_Rush_YPC
49ers,1013,321,5,2,7,201,131,87,3.7
Bears,1430,491,12,4,16,178,126,132,3.7
Bengals,981,770,8,4,12,153,92,145,5.3
Bills,956,670,4,4,8,147,99,115,5.8
Broncos,1315,938,13,8,21,154,119,185,5.6
Browns,500,287,3,2,5,106,57,89,3.2
Buccaneers,895,379,4,2,6,149,96,92,4.1
Cardinals,1257,621,8,7,15,175,126,149,4.2
Chargers,1199,417,7,5,12,158,104,101,4.1
Chiefs,1021,486,6,1,7,185,113,135,4.4
Colts,1314,596,5,7,12,185,126,156,3.8
Commanders,1193,668,10,4,14,160,99,140,4.8
Cowboys,843,617,6,4,10,133,80,138,4.5
Dolphins,1187,579,7,6,13,170,121,143,4
Eagles,1238,306,11,2,13,201,131,90,3.4
Falcons,954,522,7,1,8,161,99,139,3.8
Giants,1133,757,6,9,15,149,96,144,5.3
Jaguars,1312,408,8,3,11,181,119,110,3.7
Jets,1032,731,7,1,8,169,113,163,4.5
Lions,1122,342,8,3,11,195,122,103,3.3
Packers,972,717,5,6,11,162,107,168,4.3
Panthers,925,704,7,9,16,138,92,145,4.9
Patriots,952,540,5,5,10,161,109,149,3.6
Raiders,986,647,8,5,13,153,103,150,4.3
Rams,1034,603,4,6,10,163,95,139,4.3
Ravens,875,457,4,0,4,197,119,128,3.6
Saints,915,458,5,1,6,175,100,118,3.9
Seahawks,1120,350,5,5,10,165,113,110,3.2
Steelers,1228,719,8,3,11,182,108,151,4.8
Texans,1132,562,3,8,11,163,118,143,3.9
Titans,1201,473,5,3,8,163,117,131,3.6
Vikings,1200,512,9,4,13,178,136,148,3.5
