Team,Off_Pass_Yds,Off_Rush_Yds,Off_Rsh_TD,Off_Rec_TD,Off_Tot_TD,Off_Pass_Att,Off_Pass_Cmp,Off_Rush_Att,Off_Rush_YPC,Result
49ers,1272,782,11,9,20,137,99,173,4.5,
Bears,1143,654,2,11,13,152,94,134,4.9,
Bengals,1045,373,1,5,8,198,123,106,3.5,
Bills,1407,581,7,11,19,175,128,133,4.4,
Broncos,1210,521,1,11,13,163,109,129,4.9,
Browns,799,575,3,4,7,138,84,131,4.4,
Buccaneers,882,348,1,7,9,126,87,117,3,
Cardinals,980,716,5,6,11,155,102,131,5.5,
Chargers,1155,479,5,8,13,146,104,113,4.2,
Chiefs,1318,615,4,10,14,189,126,165,4.3,
Colts,1130,656,7,5,12,167,107,149,4.4,
Commanders,1349,455,5,6,12,191,131,102,4.5,
Cowboys,1089,622,4,5,12,165,115,156,4,
Dolphins,1681,929,12,12,24,168,121,135,6.9,
Eagles,1262,820,6,6,13,168,113,179,4.6,
Falcons,1095,608,4,4,8,157,103,149,4.1,
Giants,976,461,3,2,6,166,115,124,3.7,
Jaguars,1266,596,5,5,11,183,124,152,3.9,
Jets,911,616,2,4,7,150,91,114,5.4,
Lions,1265,705,9,9,19,159,111,165,4.3,
Packers,1083,408,4,8,13,162,90,116,3.5,
Panthers,1111,480,1,7,9,202,126,119,4,
Patriots,1087,419,1,5,6,186,112,128,3.3,
Raiders,1155,357,3,6,9,164,110,115,3.1,
Rams,1451,470,6,5,11,203,124,125,3.8,
Ravens,1030,730,9,4,13,143,100,164,4.4,
Saints,1068,486,3,4,9,169,110,143,3.4,
Seahawks,909,434,5,5,12,129,86,99,4.4,
Steelers,1045,402,0,5,6,164,98,117,3.4,
Texans,1467,413,1,8,10,187,115,136,3,
Titans,1054,533,4,3,7,144,91,126,4.2,
Vikings,1498,404,0,13,13,204,137,91,4.4,
