Team,Off_Pass_Yds,Off_Rush_Yds,Off_Rsh_TD,Off_Rec_TD,Off_Tot_TD,Result,Def_PassYds_Allowed,RushYds_Allowed,Def_Pass_TD_Allowed,Def_Rush_TD_Allowed,Def_Tot_Allowed
49ers,1272,782,11,9,20,,1013,321,5,2,7
Bears,1143,654,2,11,13,,1430,491,12,4,16
Bengals,1045,373,1,5,8,,981,770,8,4,12
Bills,1407,581,7,11,19,,956,670,4,4,8
Broncos,1210,521,1,11,13,,1315,938,13,8,21
Browns,799,575,3,4,7,,500,287,3,2,5
Buccaneers,882,348,1,7,9,,895,379,4,2,6
Cardinals,980,716,5,6,11,,1257,621,8,7,15
Chargers,1155,479,5,8,13,,1199,417,7,5,12
Chiefs,1318,615,4,10,14,,1021,486,6,1,7
Colts,1130,656,7,5,12,,1314,596,5,7,12
Commanders,1349,455,5,6,12,,1193,668,10,4,14
Cowboys,1089,622,4,5,12,,843,617,6,4,10
Dolphins,1681,929,12,12,24,,1187,579,7,6,13
Eagles,1262,820,6,6,13,,1238,306,11,2,13
Falcons,1095,608,4,4,8,,954,522,7,1,8
Giants,976,461,3,2,6,,1133,757,6,9,15
Jaguars,1266,596,5,5,11,,1312,408,8,3,11
Jets,911,616,2,4,7,,1032,731,7,1,8
Lions,1265,705,9,9,19,,1122,342,8,3,11
Packers,1083,408,4,8,13,,972,717,5,6,11
Panthers,1111,480,1,7,9,,925,704,7,9,16
Patriots,1087,419,1,5,6,,952,540,5,5,10
Raiders,1155,357,3,6,9,,986,647,8,5,13
Rams,1451,470,6,5,11,,1034,603,4,6,10
Ravens,1030,730,9,4,13,,875,457,4,0,4
Saints,1068,486,3,4,9,,915,458,5,1,6
Seahawks,909,434,5,5,12,,1120,350,5,5,10
Steelers,1045,402,0,5,6,,1228,719,8,3,11
Texans,1467,413,1,8,10,,1132,562,3,8,11
Titans,1054,533,4,3,7,,1201,473,5,3,8
Vikings,1498,404,0,13,13,,1200,512,9,4,13
