NFL Team,Gms,Tot Pts Scored_ Offence,Tot Pts per Game_ Offence,RushYds_ Offence,Ryds per Game_ Offence,PassYds_ Offence,Pyds per Game_ Offence,TotYds_ Offence,Yds per Game_ Offence,Win,Result,Tot Pts Allowed_Defence,Pts per Game allowed_Defence,RushYds allowed_Defence,Ryds per Game allowed_Defence,PassYds allowed_Defence,Passing Yards Allowed per Game_Defence,TotYds- Defence,Total yards allowed per Game_Defence
1,5,108,21.6,716,143.2,929,185.8,1645,329.0,,,136,27.2,621,124.2,1257,251.4,1878,375.6
2,5,83,16.6,608,121.6,976,195.2,1584,316.8,,,96,19.2,522,104.4,954,190.8,1476,295.2
3,5,109,21.8,730,146.0,945,189.0,1675,335.0,,,75,15.0,457,91.4,875,175.0,1332,266.4
4,5,159,31.8,581,116.2,1371,274.2,1952,390.4,,,80,16.0,670,134.0,956,191.2,1626,325.2
5,5,91,18.2,480,96.0,992,198.4,1472,294.4,,,144,28.8,704,140.8,925,185.0,1629,325.8
6,5,115,23.0,654,130.8,1018,203.6,1672,334.4,,,157,31.4,491,98.2,1430,286.0,1921,384.2
7,5,83,16.6,373,74.6,951,190.2,1324,264.8,,,114,22.8,770,154.0,981,196.2,1751,350.2
8,4,76,19.0,575,143.8,690,172.5,1265,316.2,,,60,15.0,287,71.8,500,125.0,787,196.8
9,5,134,26.8,622,124.4,1015,203.0,1637,327.4,,,83,16.6,617,123.4,843,168.6,1460,292.0
10,5,121,24.2,521,104.2,1120,224.0,1641,328.2,,,181,36.2,938,187.6,1315,263.0,2253,450.6
11,5,148,29.6,705,141.0,1217,243.4,1922,384.4,,,107,21.4,342,68.4,1122,224.4,1464,292.8
12,5,113,22.6,408,81.6,1000,200.0,1408,281.6,,,113,22.6,717,143.4,972,194.4,1689,337.8
13,5,115,23.0,413,82.6,1374,274.8,1787,357.4,,,100,20.0,562,112.4,1132,226.4,1694,338.8
14,5,120,24.0,656,131.2,1062,212.4,1718,343.6,,,115,23.0,596,119.2,1314,262.8,1910,382.0
15,5,105,21.0,596,119.2,1195,239.0,1791,358.2,,,102,20.4,408,81.6,1312,262.4,1720,344.0
16,5,128,25.6,615,123.0,1290,258.0,1905,381.0,,,80,16.0,486,97.2,1021,204.2,1507,301.4
17,5,79,15.8,357,71.4,1049,209.8,1406,281.2,,,114,22.8,647,129.4,986,197.2,1633,326.6
18,4,110,27.5,479,119.8,1076,269.0,1555,388.8,,,104,26.0,417,104.2,1199,299.8,1616,404.0
19,5,112,22.4,470,94.0,1350,270.0,1820,364.0,,,108,21.6,603,120.6,1034,206.8,1637,327.4
20,5,181,36.2,929,185.8,1639,327.8,2568,513.6,,,135,27.0,579,115.8,1187,237.4,1766,353.2
21,5,110,22.0,404,80.8,1408,281.6,1812,362.4,,,122,24.4,512,102.4,1200,240.0,1712,342.4
22,5,55,11.0,419,83.8,1018,203.6,1437,287.4,,,131,26.2,540,108.0,952,190.4,1492,298.4
23,5,96,19.2,486,97.2,959,191.8,1445,289.0,,,76,15.2,458,91.6,915,183.0,1373,274.6
24,5,62,12.4,461,92.2,815,163.0,1276,255.2,,,153,30.6,757,151.4,1133,226.6,1890,378.0
25,5,93,18.6,616,123.2,802,160.4,1418,283.6,,,105,21.0,731,146.2,1032,206.4,1763,352.6
26,5,141,28.2,820,164.0,1202,240.4,2022,404.4,,,104,20.8,306,61.2,1238,247.6,1544,308.8
27,5,79,15.8,402,80.4,939,187.8,1341,268.2,,,110,22.0,719,143.8,1228,245.6,1947,389.4
28,5,167,33.4,782,156.4,1231,246.2,2013,402.6,,,68,13.6,321,64.2,1013,202.6,1334,266.8
29,4,111,27.8,434,108.5,845,211.2,1279,319.8,,,91,22.8,350,87.5,1120,280.0,1470,367.5
30,4,84,21.0,348,87.0,858,214.5,1206,301.5,,,68,17.0,379,94.8,895,223.8,1274,318.5
31,5,88,17.6,533,106.6,935,187.0,1468,293.6,,,93,18.6,473,94.6,1201,240.2,1674,334.8
32,5,109,21.8,455,91.0,1164,232.8,1619,323.8,,,160,32.0,668,133.6,1193,238.6,1861,372.2
